variable_name,description
share_preserve_what_qualitative,If the participant indicated that they need to preserve qualitative data. [1=Yes]
share_preserve_what_neurphysiological,If the participant indicated that they need to preserve neuropsychological or aptitude tests. [1=Yes]
share_preserve_what_neuroimaging,If the participant indicated that they need to preserve neuroimaging data. [1=Yes]
share_preserve_what_writing,If the participant indicated that they need to preserve data from written documents. [1=Yes]
share_preserve_what_physiological,If the participant indicated that they need to preserve physiological data. [1=Yes]
share_preserve_what_genetic,If the participant indicated that they need to preserve genetic or molecular data. [1=Yes]
share_preserve_what_eye_tracking,If the participant indicated that they need to preserve eye tracking data. [1=Yes]
share_preserve_what_session,If the participant indicated that they need to preserve information about the data collection session. [1=Yes]
share_preserve_what_paradigm,If the participant indicated that they need to preserve task-related information. [1=Yes]
share_preserve_what_stimuli,If the participant indicated that they need to preserve task-related stimuli. [1=Yes]
share_preserve_what_code_collection,If the participant indicated that they need to preserve code used for data collection. [1=Yes]
share_preserve_what_schemes,If the participant indicated that they need to preserve coding materials. [1=Yes]
share_preserve_what_consent,If the participant indicated that they need to preserve informed consent documents. [1=Yes]
share_preserve_what_other,If the participant indicated that they need to preserve other things. [1=Yes]
share_preserve_what_other_text,"Free text response entered by participants who entered ""other"" for what materials they need to preserve over the long term. "
share_education_useful,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Sharing data in a form that ensures it will be useful to others""."
share_education_platforms,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Use of different platforms, repositories, or tools for sharing data""."
share_education_confidentiality,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Protecting participant confidentiality in shared data""."
share_education_reuse,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Understanding reuse rights related to data""."
share_education_archiving,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Best practices for preserving or archiving data over the long term""."
sc_publish,"Indicates if the participant answered the question ""What is your motivation for publishing a scholarly article that describes conclusions drawn from your data (such as a peer-reviewed journal article)?"" [1=Yes]"
sc_publish_communicate,If the participant they are motivated to publish to communicate their results and/or add to the scholarly literature. [1=Yes]
sc_publish_validity,If the participant they are motivated to publish to allow other researchers to assess the validity of their conclusions. [1=Yes]
sc_publish_incentives,If the participant they are motivated to publish by professional incentives. [1=Yes]
sc_publish_ip,If the participant they are motivated to publish to establish IP or patent claims. [1=Yes]
sc_publish_funder,If the participant they are motivated to publish because it is expected by their funder. [1=Yes]
sc_publish_employer,If the participant they are motivated to publish because it is expected by their employer. [1=Yes]
sc_publish_other,If the participant they are motivated to publish for other reasons. [1=Yes]
sc_publish_other_describe,"Free text entered by participants who entered ""other"" reasons for why they publish articles. [1=Yes]"
sc_limited,"Response to the question ""Are you limited in addressing your research questions by a lack of access to research data collected by others""."
sc_firstclass,"Response to the question ""Are you limited in addressing your research questions by a lack of access to research data collected by others""."
sc_activities_current_preprint,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing preprints presently. "
sc_activities_current_oa_gold,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing in an open access journal presently"
sc_activities_current_oa_green,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for posting author manuscripts presently"
sc_activities_current_cite_data,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for citing datasets presently. "
sc_activities_current_cite_code,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for citing code presently. "
sc_activities_current_data_paper,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing datasets presently. "
sc_activities_current_data_mediated,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for making data available to researchers with appropriate expertise presently. "
sc_activities_current_share_materials,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for sharing non-data research materials presently."
sc_activities_current_share_protocol,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for sharing study protocols presently. "
sc_activities_current_preregister,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for preregistering a study presently. "
sc_activities_current_register_report,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing a registered report presently. "
sc_activities_current_curation,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for taking advantage of a data curation/RDM service presently. "
sc_activities_current_replication,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing a replication presently. "
sc_activities_future_preprint,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing preprints in the future."
sc_activities_future_oa_gold,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing in an open access journal in the future."
sc_activities_future_oa_green,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for posting author manuscripts in the future."
sc_activities_future_cite_data,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for citing datasets in the future."
sc_activities_future_cite_code,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for citing code in the future."
sc_activities_future_data_paper,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing datasets in the future."
sc_activities_future_data_mediated,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for making data available to researchers with appropriate expertise  in the future."
sc_activities_future_share_materials,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for sharing non-data research materials in the future."
sc_activities_future_share_protocol,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for sharing study protocols in the future."
sc_activities_future_preregister,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for preregistering a study in the future."
sc_activities_future_register_report,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing a registered report in the future."
sc_activities_future_curation,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for taking advantage of a data curation/RDM service in the future."
sc_activities_future_replication,"Response to ""Please indicate if you are currently doing any of the following activities as well as if you and if you plan do any in the future."" for publishing a replication in the future."
sc_education_oa,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Open access publishing""."
sc_education_preregister,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Preregistering studies""."
sc_education_tools,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Using open science software tools""."
sc_education_practices,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Applying open science practices""."
sc_education_datasets,"Response to the question ""On a scale of 1 (No need) to 5 (High level of need), please indicate your level of need for training or education for each of the following - Finding and using openly available datasets""."
